,gene,all-related_score,abeta-related_score,tau-related_score,CERAD_score,BRAAK_score,PLAQUES_score,TANGLES_score,ABETA_IHC_score,TAU_IHC_score
1943,KLHL17,0.7280909298606352,0.6413783413296779,0.8148035183915926,0.7225551747772448,0.7879499657299521,0.603100068540096,0.8199499657299524,0.5984797806716929,0.8365106237148732
1944,NPLOC4,0.7280736806031528,0.8228051176604979,0.6333422435458076,0.9248368745716244,0.5591137765592873,0.8893379026730639,0.5960020562028786,0.6542405757368059,0.7449108978752571
1945,C14orf2,0.7280733379026731,0.7159556774046152,0.7401909984007311,0.6108848526387937,0.7771446196024675,0.697616175462646,0.7597272104180947,0.8393660041124058,0.6837011651816312
1946,DTWD2,0.7279709846927119,0.7023072880968698,0.7536346812885539,0.5297114461960248,0.6061830020562029,0.6964290610006852,0.7283666895133654,0.8807813570938998,0.9263543522960934
1947,KTI12,0.7279687000228469,0.7808942197852411,0.6750431802604524,0.6686785469499656,0.6346230294722409,0.8029348869088418,0.63023440712817,0.8710692254969158,0.7602721041809462
1948,PTGES,0.7279520219328307,0.7057585103952478,0.7501455334704135,0.5505949280328991,0.6431405071967101,0.7892782727895823,0.7417148732008227,0.7774023303632623,0.8655812200137076
1949,WFS1,0.7279352296093213,0.7276536440484348,0.7282168151702081,0.7875640849897186,0.6820137080191913,0.7820349554489373,0.7241877998629199,0.6133618917066485,0.7784489376285125
1950,TINAGL1,0.7278353895362119,0.7194797806716928,0.736190998400731,0.758501028101439,0.7623269362577102,0.7694633310486634,0.6407683344756683,0.6304749828649762,0.8054777244688144
1951,CDC7,0.7277530271875713,0.5560792780443226,0.8994267763308201,0.5229739547635369,0.8541596984235779,0.4741281699794379,0.9172076764907467,0.671135709389993,0.9269129540781356
1952,UBE3A,0.7277382910669409,0.7336908841672379,0.7217856979666437,0.7464201507882114,0.6835380397532559,0.7681884852638796,0.7090418094585327,0.686464016449623,0.7727772446881428
1953,HIST1H2BK,0.7277307516563857,0.7606959104409411,0.6947655928718298,0.7292508567511998,0.6695702535983549,0.8379533927347493,0.6819362577107608,0.7148834818368744,0.7327902673063741
1954,CNRIP1,0.7276474754397988,0.6854717843271646,0.7698231665524333,0.6149013022618229,0.7227607950651134,0.7481925976696365,0.7339040438656614,0.6933214530500342,0.8528046607265253
1955,RLBP1,0.7274956591272561,0.6304667580534612,0.8245245602010512,0.6827895819054146,0.7025113091158329,0.8388985606579847,0.8443365318711449,0.3697121315969843,0.926725839616176
1956,LHFPL2,0.7274687000228467,0.7386623257939225,0.7162750742517708,0.7805051405071964,0.7110089102124743,0.6291398217957505,0.7328546949965735,0.8063420150788209,0.7049616175462647
1957,BEND6,0.7273513822252685,0.662352067626228,0.7923506968243089,0.6257416038382453,0.8570418094585337,0.6119006168608636,0.8350856751199451,0.7494139821795752,0.684924605894448
1958,PPP1R1C,0.7273237377198996,0.6702940370116518,0.7843534384281471,0.886956134338588,0.7975359835503771,0.7770308430431803,0.8019431117203561,0.34689513365318725,0.7535812200137082
1959,PPP2R1A,0.7273212245830479,0.6719250628284211,0.7827173863376745,0.7036312542837561,0.7259437971213158,0.6126847155586015,0.7739294037011656,0.6994592186429059,0.8482789581905418
1960,GXYLT1,0.7273131140050263,0.6806095499200365,0.7740166780900161,0.7498060315284447,0.8245860178204251,0.6674372858121997,0.7561494174091847,0.624585332419465,0.7413145990404385
1961,USP2,0.7271650673977609,0.6133609778387022,0.8409691569568197,0.6741576422206991,0.8526915695681971,0.7103152844413981,0.8727292666209732,0.4556100068540096,0.7974866346812886
1962,FGF17,0.7271318254512223,0.5916499885766506,0.8626136623257941,0.6199760109664154,0.9123303632625082,0.5308457847840987,0.9165935572309803,0.6241281699794379,0.7589170664838933
1963,C1orf115,0.7270619145533469,0.6519520219328307,0.8021718071738632,0.523989033584647,0.8157690198766275,0.8009568197395478,0.8650102810143931,0.6309102124742973,0.7257361206305687
1964,TIMP2,0.7270086817454877,0.7090025131368515,0.7450148503541238,0.4654482522275529,0.6322275531185743,0.806418094585332,0.7427847840986977,0.8551411925976697,0.8600322138450995
1965,CNTN3,0.7269311172035642,0.6606997943797119,0.7931624400274163,0.6878067169294034,0.7088279643591501,0.6965757368060314,0.7954667580534615,0.597716929403701,0.8751925976696373
1966,LLGL1,0.7268645190769935,0.7412908384738405,0.7124381996801463,0.7579300891021249,0.6986367374914326,0.830052775873886,0.7397457162440029,0.6358896504455105,0.6989321453050035
1967,ANKRD34C,0.7268502398903358,0.6907918665752799,0.7629086132053917,0.6075346127484581,0.8304489376285125,0.8079177518848525,0.8003392734749829,0.6569232350925291,0.6579376285126797
1968,MYO1E,0.7268501256568425,0.6989042723326477,0.7547959789810371,0.6372535983550374,0.6999986291980811,0.8243721727210418,0.729598355037697,0.6350870459218642,0.8347909527073335
1969,APBB3,0.7268155129083848,0.7616568425862464,0.6919741832305233,0.6906710075394105,0.6931144619602471,0.7217642220699112,0.6996127484578479,0.8725352981494174,0.6831953392734746
1970,NKAIN2,0.7267356636965959,0.5803548092300663,0.8731165181631256,0.6288464701850582,0.886539410555175,0.4181069225496917,0.9158732008224812,0.6941110349554492,0.8169369431117204
1971,EPB42,0.7267242403472701,0.78120356408499,0.6722449166095501,0.5930239890335848,0.7565688827964361,0.7803283070596301,0.7196271418779986,0.9702583961617552,0.5405387251542151
1972,KLHL11,0.7266692940370119,0.7728494402558832,0.6804891478181405,0.8403399588759425,0.6387484578478412,0.7821267991775191,0.6353365318711449,0.6960815627141881,0.7673824537354352
1973,HLA-DRB5,0.7265164496230296,0.931238748000914,0.5217941512451452,0.9656949965729956,0.609517477724469,0.9508060315284441,0.5262069910897875,0.8772152159013025,0.4296579849211791
1974,ANXA11,0.7263497829563628,0.6063666895133655,0.8463328763993604,0.7061576422206993,0.903334475668266,0.7181130911583279,0.9212069910897877,0.3948293351610693,0.7144571624400274
1975,SOHLH2,0.7262418323052322,0.5767925519762395,0.8756911126342247,0.5396771761480467,0.9208231665524338,0.6811795750514051,0.9289609321453056,0.5095209047292666,0.7772892392049349
1976,SAMHD1,0.7262015078821112,0.7226116061229155,0.7297914096413068,0.759775188485264,0.7345743660041123,0.6656538725154217,0.7474461960246747,0.7424057573680608,0.7073536668951335
1977,GLIS2,0.7261596984235777,0.5811240575736806,0.8711953392734749,0.4914146675805346,0.8276483893077448,0.5274509938313912,0.8884982864976011,0.7245065113091159,0.8974393420150791
1978,EXOSC4,0.7260867032213846,0.7243294493945628,0.7278439570482064,0.6563886223440716,0.7437511994516788,0.8436682659355728,0.6221823166552434,0.672931459904044,0.8175983550376971
1979,MTUS1,0.7260843043180261,0.7627333790267308,0.6894352296093215,0.6423152844413983,0.7672974640164495,0.8518279643591504,0.7387004797806719,0.7940568882796437,0.5623077450308432
1980,B4GALT2,0.7260291295407812,0.8153283070596297,0.6367299520219328,0.7954612748457847,0.6170041124057576,0.8926360520904727,0.5785188485263879,0.7578875942426317,0.7146668951336532
1981,RANBP9,0.7259990861320538,0.7552545122229836,0.6967436600411241,0.7924283755997257,0.7352645647703906,0.7146751199451677,0.7373317340644279,0.7586600411240572,0.6176346812885537
